Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01491.01","Oil palm fruit","2020","2020","ha","23327","I","Imputed value"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01253.01","Onions and shallots, green","2020","2020","ha","12862","I","Imputed value"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2020","2020","ha","39187","A","Official figure"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01359.90","Other fruits, n.e.c.","2020","2020","ha","8348","I","Imputed value"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2020","2020","ha","60491","E","Estimated value"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01318","Pineapples","2020","2020","ha","36212","A","Official figure"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01510","Potatoes","2020","2020","ha","66789","A","Official figure"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0113","Rice","2020","2020","ha","8539","A","Official figure"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01921.01","Seed cotton, unginned","2020","2020","ha","2854","I","Imputed value"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01444","Sesame seed","2020","2020","ha","12487","I","Imputed value"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01929.05","Sisal, raw","2020","2020","ha","528","E","Estimated value"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0114","Sorghum","2020","2020","ha","153097","A","Official figure"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0141","Soya beans","2020","2020","ha","36509","A","Official figure"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01802","Sugar cane","2020","2020","ha","21940","I","Imputed value"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01445","Sunflower seed","2020","2020","ha","17066","I","Imputed value"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01530","Sweet potatoes","2020","2020","ha","184745","A","Official figure"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01234","Tomatoes","2020","2020","ha","6348","E","Estimated value"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01970","Unmanufactured tobacco","2020","2020","ha","2786","I","Imputed value"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0111","Wheat","2020","2020","ha","3324","E","Estimated value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01312","Bananas","2020","2020","ha","11","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01212","Cabbages","2020","2020","ha","1","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01229","Cantaloupes and other melons","2020","2020","ha","3","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01251","Carrots and turnips","2020","2020","ha","1","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01520.01","Cassava, fresh","2020","2020","ha","9","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","2020","ha","8","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01232","Cucumbers and gherkins","2020","2020","ha","10","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01233","Eggplants (aubergines)","2020","2020","ha","8","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01322","Lemons and limes","2020","2020","ha","89","I","Imputed value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01214","Lettuce and chicory","2020","2020","ha","2","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","3","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01316","Mangoes, guavas and mangosteens","2020","2020","ha","302","E","Estimated value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01239.01","Okra","2020","2020","ha","12","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2020","2020","ha","4","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01241.90","Other beans, green","2020","2020","ha","26","I","Imputed value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01319","Other tropical fruits, n.e.c.","2020","2020","ha","911","I","Imputed value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2020","2020","ha","98","I","Imputed value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01318","Pineapples","2020","2020","ha","3","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01235","Pumpkins, squash and gourds","2020","2020","ha","29","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01921.01","Seed cotton, unginned","2020","2020","ha","602","I","Imputed value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01215","Spinach","2020","2020","ha","2","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01802","Sugar cane","2020","2020","ha","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01530","Sweet potatoes","2020","2020","ha","16","A","Official figure"
